#{"t_start": 1719393959.4528978, "env_id": "StopEnv"}
r,l,t
-175.576092,200,18.588978
-105.687012,200,33.344561
434.669455,200,48.093973
-237.391738,200,62.841303
-277.058352,200,77.589773
-118.675899,200,100.782063
-285.432619,200,118.429109
-260.51555,200,136.082541
-44.475522,200,153.742167
-57.27873,200,171.507172
-40.492696,200,189.149877
30.310019,200,206.803225
-26.420272,200,224.51624
-176.036707,200,242.164391
46.504553,200,259.819551
63.334376,200,277.495019
-23.23497,200,295.162703
171.198972,200,312.833348
185.015804,200,330.489877
176.049034,200,348.150492
-84.385492,200,365.82756
-57.995212,200,383.496036
-11.638539,200,401.173439
-144.62515,200,418.836441
-223.154207,200,436.477094
672.952938,200,454.21125
786.859775,200,471.882748
789.558388,200,489.550281
745.868653,200,507.213063
303.3565,200,524.882028
649.568918,200,542.556362
495.878981,200,560.211744
129.255397,200,577.88388
656.870772,200,595.565587
696.949901,200,613.290835
-335.318899,200,631.033361
506.170796,200,648.673245
684.262381,200,666.329137
194.767311,200,683.982714
-21.605006,200,701.633618
422.207367,200,719.290246
665.354314,200,736.958887
-123.09504,200,754.634898
-290.519424,200,772.305963
224.119951,200,789.968154
-453.012238,200,807.623747
264.264817,200,825.284908
-217.963794,200,843.002869
-693.22286,200,860.657788
237.281866,200,878.328704
701.980806,200,896.008591
162.069115,200,913.694891
719.600592,200,931.372905
519.769214,200,949.036881
538.670192,200,966.707465
-147.144842,200,984.381124
-412.346211,200,1002.057312
-198.702759,200,1019.795004
-258.511057,200,1037.479659
159.607315,200,1055.145873
104.577733,200,1072.817492
-82.771429,200,1090.513471
278.599717,200,1108.198404
56.462433,200,1125.869694
348.707968,200,1143.553648
424.534076,200,1161.234829
-60.77693,200,1178.914742
209.191835,200,1196.76527
-230.052099,200,1214.43716
415.965819,200,1232.234702
659.428549,200,1250.270453
77.721732,200,1267.962295
24.538582,200,1285.654695
97.503302,200,1303.404011
-262.786773,200,1321.111197
291.666937,200,1338.815266
271.865367,200,1356.519302
420.745375,200,1374.225106
220.386034,200,1391.930475
229.554639,200,1409.641001
302.217615,200,1427.342815
170.7513,200,1445.055936
-81.699942,200,1462.794844
-38.543172,200,1480.504907
364.720424,200,1498.228333
137.499705,200,1515.944662
385.362714,200,1533.664976
19.498985,200,1551.382839
42.369221,200,1569.093315
209.948372,200,1586.819213
-34.196558,200,1604.530088
670.593596,200,1622.246517
461.998274,200,1639.979129
498.631015,200,1657.696977
458.42037,200,1675.413459
567.160408,200,1693.128739
314.919953,200,1710.835368
7.02578,200,1728.529897
7.176308,200,1746.320099
7.469061,200,1764.050369
478.903168,200,1781.781241
794.735002,200,1799.49375
208.268976,200,1817.218861
-123.927614,200,1834.943019
523.059202,200,1852.662889
-108.194299,200,1870.434135
166.521957,200,1888.154175
159.130038,200,1905.864571
316.374873,200,1923.57414
-108.655973,200,1941.303894
61.688925,200,1959.037075
539.444619,200,1976.754871
465.960482,200,1994.472302
-136.202032,200,2012.202874
27.927898,200,2029.929231
-160.959534,200,2047.637081
388.555373,200,2065.336727
386.619849,200,2083.070846
336.796874,200,2100.788215
625.164902,200,2118.502612
383.502125,200,2136.224105
554.930257,200,2153.97364
707.257067,200,2171.69949
706.09617,200,2189.544839
705.627375,200,2207.391929
15.684296,200,2304.240269
162.713206,200,2321.985839
352.611481,200,2339.705275
454.11424,200,2357.425225
-213.66528,200,2375.142846
236.463068,200,2392.862423
134.393981,200,2410.586948
86.273307,200,2428.308008
-392.522378,200,2446.042458
443.883343,200,2463.776899
70.790925,200,2481.492682
-51.044859,200,2499.214509
410.014857,200,2517.003134
779.426003,200,2534.716668
124.758971,200,2552.433353
633.345673,200,2570.162663
-69.888551,200,2587.882835
-1275.329155,200,2605.682016
-1036.001468,200,2623.409087
-1237.18719,200,2641.131266
-1306.47762,200,2658.865191
-1176.519076,200,2676.598052
-775.274724,200,2694.338854
-900.298579,200,2712.068983
